row_number,column_name,error
6,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
10,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
11,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
15,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
22,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
23,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
35,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
38,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
41,customer_id,customer id cannot be blank
44,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
50,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
52,contract_type,contract_type cannot be blank
54,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
56,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
59,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
60,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
62,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
63,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
64,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
68,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
72,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
75,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
76,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
80,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
81,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
83,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
91,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
102,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
116,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
122,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
127,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
131,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
132,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
136,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
140,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
142,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
143,customer_id,customer id cannot be blank
152,contract_type,contract_type cannot be blank
154,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
156,contract_type,contract_type cannot be blank
158,contract_type,contract_type cannot be blank
162,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
166,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
167,customer_id,customer id cannot be blank
168,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
173,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
184,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
194,customer_id,customer id cannot be blank
205,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
207,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
208,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
212,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
214,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
216,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
217,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
218,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
221,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
228,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
230,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
231,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
239,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
241,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
242,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
244,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
248,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
265,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
266,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
269,customer_id,customer id cannot be blank
269,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
276,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
284,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
286,contract_type,contract_type cannot be blank
293,contract_type,contract_type cannot be blank
300,customer_id,customer id cannot be blank
300,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
303,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
304,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
308,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
309,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
310,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
312,customer_id,customer id cannot be blank
312,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
313,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
315,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
320,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
322,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
325,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
331,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
335,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
347,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
348,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
349,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
350,customer_id,customer id cannot be blank
352,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
353,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
354,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
355,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
356,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
358,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
359,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
363,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
364,contract_type,"contract_type must be one of ['Annual', 'Monthly', 'Quarterly']"
